245,total,1991,3387119,Colorado
246,total,1994,3724168,Colorado
247,under18,1994,966412,Colorado
248,under18,1993,947806,Colorado
249,total,1993,3613734,Colorado
250,under18,1995,984310,Colorado
251,total,1995,3826653,Colorado
252,total,1996,3919972,Colorado
253,under18,1996,1003946,Colorado
254,under18,1997,1030557,Colorado
255,total,1997,4018293,Colorado
256,total,1998,4116639,Colorado
257,under18,1998,1060066,Colorado
258,total,2000,4326921,Colorado
259,under18,2000,1106676,Colorado
260,total,1999,4226018,Colorado
261,under18,1999,1083938,Colorado
262,total,2002,4490406,Colorado
263,under18,2002,1138273,Colorado
264,total,2001,4425687,Colorado
265,under18,2001,1126647,Colorado
266,total,2004,4575013,Colorado
267,under18,2004,1146369,Colorado
268,total,2003,4528732,Colorado
269,under18,2003,1144597,Colorado
270,total,2006,4720423,Colorado
271,under18,2006,1171832,Colorado
272,total,2005,4631888,Colorado
273,under18,2005,1156399,Colorado
274,total,2008,4889730,Colorado
275,under18,2008,1203289,Colorado
276,total,2007,4803868,Colorado
277,under18,2007,1189434,Colorado
278,total,2009,4972195,Colorado
279,under18,2009,1217213,Colorado
280,under18,2013,1237932,Colorado
281,total,2013,5268367,Colorado
282,under18,2010,1226619,Colorado
283,total,2010,5048196,Colorado
284,under18,2011,1230178,Colorado
285,total,2011,5118400,Colorado
286,under18,2012,1232864,Colorado
287,total,2012,5189458,Colorado
288,under18,2012,794959,Connecticut
289,total,2012,3591765,Connecticut
290,under18,2011,805109,Connecticut
291,total,2011,3588948,Connecticut
292,under18,2010,814187,Connecticut
293,total,2010,3579210,Connecticut
294,under18,2013,785566,Connecticut
295,total,2013,3596080,Connecticut
296,total,2009,3561807,Connecticut
297,under18,2009,820839,Connecticut
298,total,2007,3527270,Connecticut
299,under18,2007,833484,Connecticut
300,total,2008,3545579,Connecticut
301,under18,2008,826626,Connecticut
302,total,2005,3506956,Connecticut
303,under18,2005,844034,Connecticut
304,total,2006,3517460,Connecticut
