,county_name,population,state_id
379,Le Sueur,14014,23
380,Mahnomen,2843,23
381,McLeod,26381,23
382,Meeker,11539,23
383,Mille Lacs,11320,23
384,Morrison,15339,23
385,Mower,31701,23
386,Nicollet,28386,23
387,Nobles,17716,23
388,Norman,4116,23
389,Olmsted,137473,23
390,Otter Tail,26677,23
391,Pine,10933,23
392,Pipestone,6248,23
393,Ramsey,535423,23
394,Red Lake,2091,23
395,Redwood,9957,23
396,Renville,11106,23
397,Rice,60626,23
398,Roseau,6151,23
399,Sherburne,48778,23
400,Sibley,8540,23
401,Stearns,191565,23
402,Steele,31170,23
403,Swift,6116,23
404,Todd,17155,23
405,Traverse,2073,23
406,Wabasha,14305,23
407,Wadena,9234,23
408,Waseca,12948,23
409,Watonwan,8356,23
410,Wilkin,4568,23
411,Winona,39067,23
412,Wright,125478,23
413,Yellow Medicine,3974,23
414,Alachua,241699,9
415,Bay,323531,9
416,Bradford,25385,9
417,Brevard,924112,9
418,Broward,1933620,9
419,Charlotte,112220,9
420,Citrus,181561,9
421,Collier,147179,9
422,Dixie,2409,9
423,Duval,1273460,9
424,Escambia,558015,9
425,Flagler,412626,9
426,Gadsden,18865,9
427,Gilchrist,2490,9
428,Glades,3158,9
429,Gulf,5471,9
430,Hardee,11568,9
431,Hendry,25983,9
432,Hernando,232365,9
433,Highlands,75445,9
434,Hillsborough,4074087,9
435,Indian River,281200,9
436,Lee,1759655,9
437,Leon,288839,9
438,Levy,19798,9
439,Manatee,196138,9
440,Martin,126602,9
441,Miami-Dade,7738641,9
442,Okaloosa,131123,9
443,Okeechobee,11187,9
444,Orange,6671478,9
445,Osceola,517123,9
446,Palm Beach,882540,9
447,Pasco,419983,9
448,Pinellas,847126,9
449,Santa Rosa,331436,9
450,Sarasota,1140542,9
451,Seminole,334057,9
452,St. Johns,209332,9
453,St. Lucie,563766,9
454,Sumter,268376,9
455,Suwannee,7681,9
456,Volusia,574851,9
457,Wakulla,6954,9
458,Alamance,198324,33
459,Alexander,11680,33
460,Anson,10044,33
461,Ashe,3350,33
462,Avery,3628,33
463,Bertie,5833,33
464,Bladen,8309,33
465,Brunswick,73325,33
466,Buncombe,356898,33
467,Burke,44110,33
468,Cabarrus,341580,33
469,Caldwell,74887,33
470,Carteret,38065,33
471,Caswell,2992,33
472,Catawba,256785,33
473,Chowan,6679,33
474,Columbus,16062,33
475,Craven,74174,33
476,Cumberland,909628,33
477,Currituck,7982,33
478,Dare,25843,33
479,Davie,11310,33
480,Duplin,15566,33
481,Durham,401719,33
482,Edgecombe,14657,33
483,Forsyth,499978,33
484,Gaston,263998,33
485,Gates,366,33
486,Granville,23251,33
487,Guilford,572188,33
488,Halifax,39923,33
489,Harnett,55041,33
490,Haywood,33436,33
491,Hertford,8899,33
492,Hoke,10337,33
